Model Name,Num Classes,Total Texts,Total Words,Accuracy,Precision,F1 Score,Recall,Train Time,Validation Time,Date,Dataset
Naive Bayes,146,707175,47579241,0.3483932548520522,0.3489261540594299,0.3437568076498409,0.3483932548520522,1.914204835891724,0.4461150169372558,2024-05-15,
SVM,146,707175,47579241,0.3749920458160993,0.3739100058844463,0.3733024824545844,0.3749920458160993,12199.307862520218,7120.790545463562,2024-05-15,
Naive Bayes,146,707175,47579241,0.3483932548520522,0.3489261540594299,0.3437568076498409,0.3483932548520522,1.712780475616455,0.4021499156951904,2024-05-15,
SVM,146,707175,47579241,0.3749920458160993,0.3739100058844463,0.3733024824545844,0.3749920458160993,11738.095306634905,7156.604291439056,2024-05-15,
Random Forest,146,707175,47579241,0.3752974864778873,0.3657466585741514,0.3675253938976849,0.3752974864778873,5668.080059289932,13.485525369644163,2024-05-15,
KNN,146,707175,47579241,0.3624689786827871,0.3273426742906664,0.3345392476199074,0.3624689786827871,0.2772564888000488,909.4466631412506,2024-05-15,
LR,146,707175,47579241,0.3720267260579064,0.3732492720455693,0.3709388175795609,0.3720267260579064,463.3117711544037,0.4916310310363769,2024-05-15,
Naive Bayes,137,707175,47579241,0.2133121221762647,0.1802671362154339,0.1905379648184589,0.2133121221762647,2.415924072265625,0.468609094619751,2024-05-21,
SVM,137,707175,47579241,0.2185046134266624,0.2090405468322478,0.2124299669506083,0.2185046134266624,15738.345371961594,7553.0756759643555,2024-05-21,
Naive Bayes,46,707175,47579241,0.895424753420299,0.900970425130434,0.8885726965616462,0.895424753420299,0.6496179103851318,0.2228701114654541,2024-05-26,
SVM,46,707175,47579241,0.959185491568565,0.9586389567366737,0.9580920927283696,0.959185491568565,12333.09317946434,2098.0193617343903,2024-05-26,
Random Forest,46,707175,47579241,0.9346229716831052,0.9341859961745036,0.9279547486774846,0.9346229716831052,3719.66944026947,4.78241753578186,2024-05-26,
KNN,46,707175,47579241,0.915163856188355,0.9160048191981516,0.9131136133439434,0.915163856188355,0.1559016704559326,902.3754842281342,2024-05-26,
LR,46,707175,47579241,0.955456570155902,0.9533807059376944,0.9539010361875504,0.955456570155902,140.18778920173645,0.2779181003570556,2024-05-26,
BERT,46,707175,47579241,0.9154311418533324,0.9435734429578873,0.918674776924468,0.9154311167674196,127626.30488491058,1107.1963069438934,2024-05-28,
Naive Bayes,46,707175,47579241,0.895424753420299,0.900970425130434,0.8885726965616462,0.895424753420299,0.6531128883361816,0.2302985191345214,2024-06-02,
Naive Bayes,94,707175,47579241,0.351511294941139,0.3269308495066095,0.3353384994356461,0.351511294941139,1.139256477355957,0.318460464477539,2024-06-02,
SVM,94,707175,47579241,0.3652179446388801,0.3589862213079493,0.3607849195054761,0.3652179446388801,12083.68044281006,4750.816983699799,2024-06-02,
Random Forest,94,707175,47579241,0.3643779828189628,0.3489839689131775,0.3537706694311286,0.3643779828189628,4944.050290584564,7.545363426208496,2024-06-02,
KNN,94,707175,47579241,0.3404772510340439,0.3093541355679752,0.3176377045658612,0.3404772510340439,0.1628384590148925,906.1489815711976,2024-06-02,
LR,94,707175,47579241,0.3634362074451161,0.3555007538686608,0.3583814191951293,0.3634362074451161,251.3248794078827,0.3446230888366699,2024-06-02,
BERT,94,707175,47579241,0.3525421619415283,0.3748164244955619,0.3621976368450492,0.3525421571746738,128687.33601212502,1255.5295243263245,2024-06-05,
Naive Bayes,20,707175,47579241,0.924619790009545,0.923602334814704,0.9193703433958312,0.924619790009545,0.3721423149108886,0.1753914356231689,2024-06-05,
SVM,20,707175,47579241,0.9698122812599428,0.969237835203096,0.969223153536314,0.9698122812599428,11246.78494167328,1240.7964646816254,2024-06-06,
Random Forest,20,707175,47579241,0.9553293032134904,0.9548591482030366,0.9508569152916176,0.9553293032134904,3209.9186038970947,3.5272786617279053,2024-06-06,
KNN,20,707175,47579241,0.9387336939230037,0.9399479706116176,0.9381181073183,0.9387336939230037,0.1487462520599365,905.9888429641724,2024-06-06,
LR,20,707175,47579241,0.9686159720012728,0.967682465705896,0.9676905870267896,0.9686159720012728,69.31813859939575,0.2440078258514404,2024-06-06,
BERT,20,707175,47579241,0.3147693276405334,0.0990797302693975,0.1507180432477235,0.3147693286668788,128162.77019882202,1118.975840330124,2024-06-08,
BERT,20,707175,47579241,0.9044479727745056,0.9248822489590268,0.90731990360241,0.9044479796372892,42141.739335775375,1115.4772753715515,2024-06-16,
BERT,46,707175,47579241,0.9026280641555786,0.9714554638747328,0.9221815307165746,0.9026280623608016,42495.58311486244,1123.8028049468994,2024-06-17,
BERT,20,105858,8184100,0.9818073511123656,0.9821387299222644,0.9817582197189948,0.9818073620674996,6831.492101669312,188.9303092956543,2024-06-23,
XLNet,20,105858,8184100,0.7739522457122803,0.866407312868969,0.7712552599433796,0.7739522230723455,26938.51453924179,15405.77815580368,2024-06-23,
Naive Bayes,20,105858,8184100,0.8929694805746833,0.8996575266416498,0.886143299147548,0.8929694805746833,0.2000324726104736,0.0356295108795166,2024-06-23,
SVM,20,105858,8184100,0.950437813482955,0.9504159474160064,0.9501050516605996,0.950437813482955,299.58531951904297,55.51860690116882,2024-06-23,
Random Forest,20,105858,8184100,0.9171129813823004,0.9188220028028522,0.91089789940482,0.9171129813823004,222.0960907936096,0.8052284717559814,2024-06-23,
KNN,20,105858,8184100,0.9035960214231064,0.9077967989531152,0.9038286108159568,0.9035960214231064,0.0317895412445068,29.605885982513428,2024-06-23,
LR,20,105858,8184100,0.9467822834310976,0.9463197177318174,0.9458922726472406,0.9467822834310976,19.351869344711304,0.058295726776123,2024-06-23,
XLNet,46,707175,47579241,0.4282,0.0,0.0,0.0,0.0,0.0,2024-06-24,
XLNet,20,707175,47579241,0.3147,0.0,0.0,0.0,0.0,0.0,2024-06-24,
XLNet,94,707175,47579241,0.338,0.0,0.0,0.0,0.0,0.0,2024-06-25,
Naive Bayes,46,222437,18421495,0.8733209257161353,0.8781959224487199,0.8658685108190385,0.8733209257161353,0.2869555950164795,0.1049327850341796,2024-06-25,
SVM,46,222437,18421495,0.9344149538760316,0.9341637469675256,0.933223272959653,0.9344149538760316,2432.0804257392883,588.8073194026947,2024-06-25,
Random Forest,46,222437,18421495,0.905729082375789,0.9057494731738338,0.9002098968827431,0.905729082375789,1515.4940340518951,2.243687868118286,2024-06-25,
